"","Ctrl1","Ctrl2","Ctrl3","Ctrl4","MOR1","MOR2","MOR3","MOR4"
"ENSMUSG00000061723",0.2,0.36,0.47,0.34,0.07,0,0,0.11
"ENSMUSG00000061731",8.68,10.21,4.08,11.2,16.3,14.65,15.23,11.16
"ENSMUSG00000061740",16.73,18.2,17.04,14.35,6.56,9.31,7.57,8.33
"ENSMUSG00000061742",0.09,0.2,0,0,0,0,0.03,0.03
"ENSMUSG00000061751",43.09,59.74,36.73,59.92,67.28,64.58,71.18,56.95
"ENSMUSG00000061755",3.9,4.43,3.94,5.4,4.84,4.69,4.6,4.26
"ENSMUSG00000061758",13.65,14.42,10.61,12.2,10.49,16.21,7.77,11.94
"ENSMUSG00000061759",8.23,6,10.74,5.6,7.15,7.67,5.98,8.35
"ENSMUSG00000061762",224.07,136.34,628.62,200.02,63.53,61.98,57.65,38.44
"ENSMUSG00000061769",0,0,0,0,0,0,0,0
"ENSMUSG00000061778",4.63,6.09,3.86,6.93,4.88,5.64,4,4.92
"ENSMUSG00000061780",0,0,0,0,0,0,0,0
"ENSMUSG00000061787",228.1,154.51,135.94,191.08,192.2,199.46,228.18,191.38
"ENSMUSG00000061798",0,0,0,0,0,0,0.03,0
"ENSMUSG00000061802",0.02,0,0.02,0.28,0,0,0.02,0
"ENSMUSG00000061808",1.27,0.94,29.03,26.36,12.65,0.06,2,0.35
"ENSMUSG00000061809",0,0.06,0,0,0,0,0,0
"ENSMUSG00000061815",0,0,0,0.11,0,0,0,0
"ENSMUSG00000061816",0,0.29,0.06,0.4,0.14,0.28,0.12,0.52
"ENSMUSG00000061825",0,0,0,0,0,0,0,0
"ENSMUSG00000061829",0,0.04,0,0,0,0,0.02,0.02
"ENSMUSG00000061838",14.82,16,14,12.77,8.82,12.67,9.23,11.46
"ENSMUSG00000061845",0,0,0,0,0,0,0,0
"ENSMUSG00000061847",0,0,0,0,0,0,0,0
"ENSMUSG00000061859",3.77,3.02,13.79,3.17,1.72,2.08,1.62,3.34
"ENSMUSG00000061875",0,0,0.04,0,0,0,0,0.07
"ENSMUSG00000061877",0,0,0,0,0,0,0,0
"ENSMUSG00000061878",6.62,2.35,8.99,0.27,0.7,0.41,0.84,1.19
"ENSMUSG00000061882",0.22,0.53,0.35,0.41,0.12,0.36,0.15,0.26
"ENSMUSG00000061887",15.84,16.07,11.61,16.87,26.41,16.72,18.16,16.26
"ENSMUSG00000061894",0.57,0.79,0.95,1.19,1.11,1.66,0.94,0.89
"ENSMUSG00000061898",2.34,3.63,4.88,2.67,3,2.33,3.14,2.94
"ENSMUSG00000061904",493.71,462,497.89,429.67,415.37,440.22,433.88,439.58
"ENSMUSG00000061906",0,0,0,0,0,0,0,0
"ENSMUSG00000061911",42.39,56.73,66.84,57.67,54.19,47.62,51.27,48.07
"ENSMUSG00000061923",0,0,0,0.07,0,0,0,0.06
"ENSMUSG00000061928",0,0.04,0.07,0.06,0,0,0.02,0
"ENSMUSG00000061937",0,0,0,0,0,0,0,0
"ENSMUSG00000061947",0.05,0.06,0.14,0.21,0.06,0,0.08,0
"ENSMUSG00000061950",7.58,8.37,11.64,6.49,5.58,5.48,4.52,5.57
"ENSMUSG00000061952",0,0,0.1,0,0,0.07,0.06,0.13
"ENSMUSG00000061958",0,0,0,0,0,0,0,0
"ENSMUSG00000061959",0,0,0,0,0,0,0,0
"ENSMUSG00000061961",0,0,0,0,0,0.03,0,0
"ENSMUSG00000061972",0,0,0.08,0.09,0,0,0,0
"ENSMUSG00000061974",0,0,0.1,0,0,0,0,0
"ENSMUSG00000061977",0,0,0,0,0,0,0,0
"ENSMUSG00000061979",7.58,6.73,5.8,6.79,4.37,5.14,6.68,5.85
"ENSMUSG00000061981",48.48,48.09,47.27,51.02,49.64,56.58,56.07,49.79
"ENSMUSG00000061983",132.29,93.54,81.78,91.7,101.02,90.27,124.03,98.8
"ENSMUSG00000061984",0,0,0,0.09,0,0,0,0
"ENSMUSG00000061991",0,0,0,0,0,0,0,0
"ENSMUSG00000062006",232.47,146.18,168.32,158.75,187.34,152.84,230.22,188.18
"ENSMUSG00000062007",0,0,0,0,0,0,0,0.18
"ENSMUSG00000062012",6.61,5.79,7.32,7.06,8.36,7.69,8.68,6.31
"ENSMUSG00000062014",50.81,47.82,47.75,53.74,54.22,47.23,43.52,55.07
"ENSMUSG00000062017",0,0,0,0,0,0,0,0
"ENSMUSG00000062028",0,0.08,0.08,0.21,0.03,0,0,0
"ENSMUSG00000062031",1.56,3.37,3.85,2.4,1.16,1.96,1.75,1.57
"ENSMUSG00000062037",0,0,0,0,0,0,0.01,0.01
"ENSMUSG00000062040",4.22,4.94,5.46,4.43,3.9,6.76,4.28,5.69
"ENSMUSG00000062042",0,0.07,0,0,0,0,0.07,0
"ENSMUSG00000062044",2.42,2.15,2.72,3.02,1.94,1.67,5.37,1.51
"ENSMUSG00000062054",12.95,8.02,12.1,9.3,8.24,9.32,7.95,7.94
"ENSMUSG00000062061",0,1.03,5.42,0.65,9.29,8.36,1.74,3.95
"ENSMUSG00000062064",0,0,0,0,0,0,0,0
"ENSMUSG00000062070",249.12,218.86,191.09,212.52,234.2,279.44,213.96,221.9
"ENSMUSG00000062074",0,0.05,0.05,0.14,0.07,0,0,0
"ENSMUSG00000062075",4.74,7.29,7.6,6.29,6.31,8.18,8.45,7.02
"ENSMUSG00000062077",0.32,0.53,0.1,0.06,0.25,0.05,0.05,0
"ENSMUSG00000062078",41.92,46.58,34.65,45.49,41.16,27.94,33.4,43.48
"ENSMUSG00000062082",0,0,0,0,0,0,0,0
"ENSMUSG00000062098",43.61,54.35,25.28,43.26,32.7,46.88,37.43,40.9
"ENSMUSG00000062101",3.58,2.24,2.97,3.01,2.59,2.4,2.22,2.43
"ENSMUSG00000062103",0,0,0,0,0,0,0,0
"ENSMUSG00000062105",0,0,0,0,0,0,0.08,0
"ENSMUSG00000062110",8.64,11.39,11.57,12.29,13.17,11.67,10.23,9.64
"ENSMUSG00000062115",4.47,5.9,10.12,7.35,5.91,6.4,8.85,6.29
"ENSMUSG00000062116",7.46,6.49,8.43,7.12,8.97,8.74,9,9.04
"ENSMUSG00000062121",0.02,0.08,0.1,0,0.07,0.03,0.15,0.05
"ENSMUSG00000062124",0,0,0,0,0,0,0,0
"ENSMUSG00000062127",8.17,5.1,6.91,7.33,7.2,5.43,7.81,9
"ENSMUSG00000062128",0,0,0,0,0,0,0,0
"ENSMUSG00000062132",0,0,0.03,0,0,0.1,0,0
"ENSMUSG00000062142",0.03,0,0,0,0.05,0,0,0.01
"ENSMUSG00000062148",0,0,0,0,0.07,0,0,0
"ENSMUSG00000062151",3.05,2.42,11.77,4.64,1.65,1.15,0.63,0.98
"ENSMUSG00000062154",0,0,0.15,0,0.08,0,0,0.15
"ENSMUSG00000062157",0.11,0.03,0,0.06,0,0.07,0,0.03
"ENSMUSG00000062162",0,0,0,0,0,0,0,0
"ENSMUSG00000062165",0,0.04,0.04,0,0,0,0,0
"ENSMUSG00000062168",0.37,0.48,0.22,1.28,0.27,0.72,0.95,0.76
"ENSMUSG00000062169",22.68,22.6,23.99,18.13,21.68,11.3,17.69,22.11
"ENSMUSG00000062170",0.19,0,0,0.12,0,0,0.11,0
"ENSMUSG00000062175",1.79,1.69,1.79,1.91,1.19,1,1.6,1.37
"ENSMUSG00000062181",0,0,0,0,0,0,0,0
"ENSMUSG00000062184",13.97,11.48,25.45,16.31,12.96,16.73,14.62,14.12
"ENSMUSG00000062186",0,0,0,0.06,0,0.16,0.17,0
"ENSMUSG00000062190",27.73,30.88,17.39,26.44,30.77,32.29,34.39,29.9
"ENSMUSG00000062198",7.31,5.84,8.16,5.88,3.84,3.75,7.6,6.84
"ENSMUSG00000062199",0,0,0,0,0,0.08,0,0
"ENSMUSG00000062200",0.02,0.01,0.01,0.04,0.01,0.02,0.01,0.02
"ENSMUSG00000062201",0,0,0,0,0,0,0,0
"ENSMUSG00000062202",21.2,24.87,21.54,21.74,22.42,33.25,29.83,22.9
"ENSMUSG00000062203",9.94,6.19,7.77,6.68,6.67,9.18,9.37,6.66
"ENSMUSG00000062204",0.21,0,0,0,0,0,0,0
"ENSMUSG00000062209",6.32,9.25,6.48,7.83,4.51,10.98,9.33,7.04
"ENSMUSG00000062210",4.73,5.36,6.04,5.26,5.9,4.59,5.16,8.14
"ENSMUSG00000062232",7.51,7.95,13.88,9.14,11.28,9.69,8.84,11.36
"ENSMUSG00000062234",23.51,21.25,25.58,25.65,30.6,28.42,26.97,27.32
"ENSMUSG00000062245",0,0,0,0,0,0,0,0
"ENSMUSG00000062248",2.37,1.4,0.89,3.75,1.79,1.82,2.07,1.31
"ENSMUSG00000062252",6.62,6.79,7.49,7.38,6.21,6.88,5.84,6.66
"ENSMUSG00000062257",47.3,55.59,32.78,60.39,72.18,54.83,63.19,51.49
"ENSMUSG00000062270",248.98,185.18,202.59,222.32,265.22,235.21,239.85,262.81
"ENSMUSG00000062272",0,0,0,0,0,0,0,0
"ENSMUSG00000062275",0,0,0,0,0,0,0,0
"ENSMUSG00000062278",0,0,0,0,0,0,0,0
"ENSMUSG00000062296",8.83,15.01,14.85,14.04,9.01,10.87,12.88,9.01
"ENSMUSG00000062300",3.18,4.24,5.76,2.9,3.89,4.32,3.77,3.9
"ENSMUSG00000062309",15.83,10.2,16.42,13.35,10.73,12.13,13.11,32.14
"ENSMUSG00000062310",0,0.04,0.1,0.04,0.03,0.04,0,0
"ENSMUSG00000062312",0.68,0.6,0.94,0.62,0.31,0.68,0.63,0.46
"ENSMUSG00000062314",0.02,0,0,0,0,0,0.06,0
"ENSMUSG00000062327",0,0.03,0,0,0,0,0,0
"ENSMUSG00000062328",142.14,90.71,80.68,112.8,121.63,116.73,114.28,103.37
"ENSMUSG00000062329",0.2,0,0.7,0.17,0,0.38,0.07,0.14
"ENSMUSG00000062342",0,0.07,0,0,0,0,0,0
"ENSMUSG00000062345",0.57,0,0.22,0,0,0,0,0.2
"ENSMUSG00000062352",27.07,25.77,55.04,27.96,21.21,27.05,22.43,20.7
"ENSMUSG00000062369",0,0,0,0,0,0.05,0,0
"ENSMUSG00000062372",3.5,4.08,7.19,3.52,0.41,0.78,0.71,0.43
"ENSMUSG00000062373",4.35,4.17,2.99,4.79,4,2.79,3.06,3.43
"ENSMUSG00000062376",12.41,9.48,10.05,11.87,12.98,8.03,11.31,12.5
"ENSMUSG00000062380",293.79,256.91,227.11,249.25,282.17,272.68,300.15,312.75
"ENSMUSG00000062382",8.91,6.4,5.17,6.69,7.35,4.77,6.42,7.2
"ENSMUSG00000062393",0.4,0.2,0.67,0.39,0.13,0.15,0.05,0.06
"ENSMUSG00000062397",100.24,66.97,101.61,62.22,101.57,80.94,80.22,98.08
"ENSMUSG00000062400",0,0,0,0,0,0,0,0
"ENSMUSG00000062410",0.45,0.26,0.73,0.43,0.61,0.3,0.29,0.1
"ENSMUSG00000062421",31.64,23.2,31.35,25.76,31.45,28.45,29.68,34.56
"ENSMUSG00000062426",0,0,0,0,0,0,0.07,0.07
"ENSMUSG00000062432",0.04,0,0,0,0,0,0,0
"ENSMUSG00000062433",0,0,0,0,0,0,0,0
"ENSMUSG00000062434",0,0,0,0.11,0,0,0,0
"ENSMUSG00000062438",0.08,0.17,0,0.18,0.04,0.03,0.06,0.05
"ENSMUSG00000062444",45.57,45.44,43.16,46.92,53.3,53.89,59.65,54.46
"ENSMUSG00000062456",0.78,1.38,1.1,0.96,0.95,0.22,0.26,0
"ENSMUSG00000062464",0,0,0,0,0.02,0,0,0
"ENSMUSG00000062478",0,0,0,0,0,0,0,0
"ENSMUSG00000062480",3.22,4.1,3.66,3.08,1.79,2.29,2.71,1.43
"ENSMUSG00000062483",0,0.06,0,0,0,0,0,0.03
"ENSMUSG00000062488",3.56,2.78,4.15,2.61,2.1,1.5,2.51,3.51
"ENSMUSG00000062497",0,0,0,0,0,0,0,0.04
"ENSMUSG00000062510",0.6,0.24,0.84,0.46,0.4,0.12,0.26,0.31
"ENSMUSG00000062511",0.83,1.36,1.05,0.57,0.92,0,0.5,0.49
"ENSMUSG00000062515",0,0.08,0.3,0.45,0.23,0,0.16,0
"ENSMUSG00000062518",0,0,0,0.03,0,0,0.02,0
"ENSMUSG00000062519",4.67,8.48,6.12,7.39,6.93,7.04,6.55,8.16
"ENSMUSG00000062524",0,0,0,0,0,0,0,0
"ENSMUSG00000062526",7.01,7.84,6.85,6.5,5.44,7.56,4.73,5.94
"ENSMUSG00000062527",0,0.02,0,0,0.11,0,0.08,0
"ENSMUSG00000062528",0,0,0,0,0,0,0,0
"ENSMUSG00000062542",1.03,1.14,0.38,1.05,1.37,2,2.89,1.95
"ENSMUSG00000062545",0.41,0.15,0.15,0.33,0.39,0.28,0.32,0.4
"ENSMUSG00000062546",0,0,0,0,0,0,0,0
"ENSMUSG00000062551",0,0,0,0,0,0,0,0
"ENSMUSG00000062553",0.01,0.01,0,0.02,0,0,0,0.01
"ENSMUSG00000062556",0,0,0.32,0,0,0,0,0
"ENSMUSG00000062563",1.47,1.22,0.59,0.89,2.12,1.7,2.08,1.45
"ENSMUSG00000062564",0,0,0,0.17,0,0,0,0
"ENSMUSG00000062580",70.96,46.29,54.46,44.1,73.84,46.43,52.02,64.25
"ENSMUSG00000062585",0,0.48,0.31,0.15,0.06,0,0.17,0
"ENSMUSG00000062590",12.43,12.33,19.75,16.42,15.79,15.34,16.03,13.41
"ENSMUSG00000062591",661.5,608.09,447.76,544.36,619.85,645.31,579.4,568.09
"ENSMUSG00000062593",0,0.11,0.25,0,0.31,0,0.16,0
"ENSMUSG00000062598",0,0,0,0,0,0,0,0
"ENSMUSG00000062604",88.97,81.9,78.98,86.77,99.63,83,89.29,78.75
"ENSMUSG00000062608",0,0,0,0,0,0,0,0
"ENSMUSG00000062609",0,0,0.06,0.04,0,0,0,0.02
"ENSMUSG00000062619",10,7.56,6.46,5.86,7.2,7.87,6.03,8.81
"ENSMUSG00000062621",0,0,0,0.02,0,0,0.08,0
"ENSMUSG00000062624",0,0,0,0,0,0,0,0
"ENSMUSG00000062627",5.42,6.76,5.38,7.44,7.62,5.35,5.02,6.2
"ENSMUSG00000062629",0.13,0,0,0,0,0.12,0,0.14
"ENSMUSG00000062638",0,0,0,0,0,0,0,0
"ENSMUSG00000062646",1.85,1.45,1.97,1.37,1.13,1.66,0.84,1.36
"ENSMUSG00000062647",157.67,141,123.12,141.91,133.03,149.68,167.46,145.41
"ENSMUSG00000062649",0,0,0.13,0.02,0,0.02,0.2,0
"ENSMUSG00000062651",0,0,0,0,0,0,0,0
"ENSMUSG00000062661",92.57,93.62,119.73,97.03,144.41,103.2,125.63,147.72
"ENSMUSG00000062683",195.48,167.95,152.39,170.36,181.09,204.06,204.75,186.51
"ENSMUSG00000062687",0,0,0,0,0,0,0.06,0
"ENSMUSG00000062691",36.79,27.05,23.78,29.41,40.59,30.49,32.12,36.72
"ENSMUSG00000062694",0.17,0.12,0.3,0.21,0.04,0.06,0,0.12
"ENSMUSG00000062705",0,0,0,0,0,0,0,0
"ENSMUSG00000062712",0,0,0,0.04,0.03,0,0,0
"ENSMUSG00000062713",0,0,0,0,0,0.04,0,0
"ENSMUSG00000062727",0,0,0,0,0.13,0,0,0
"ENSMUSG00000062729",8.99,8.78,9.1,10.36,8.46,8.18,10.01,9.72
"ENSMUSG00000062732",0,0,0,0,0,0,0,0
"ENSMUSG00000062737",0,0,0,0,0,0,0,0
"ENSMUSG00000062743",0.86,0.31,0.52,0.61,0.51,0.51,0.35,0.38
"ENSMUSG00000062751",0,0,0,0,0,0,0,0
"ENSMUSG00000062753",97.26,77.92,52.98,61.74,82.19,51.81,87.96,80.56
"ENSMUSG00000062757",0,0,0,0,0,0,0,0.08
"ENSMUSG00000062760",10.78,16.97,7.09,13.84,16.04,17.13,22.68,19.32
"ENSMUSG00000062761",17.67,16.5,20.19,17.59,17.25,18.42,21.46,16.76
"ENSMUSG00000062762",18.31,14.44,13.15,14.81,10.88,16.37,11.84,13.18
"ENSMUSG00000062773",0,0,0,0,0,0,0,0
"ENSMUSG00000062778",1.39,1.2,6.68,2.08,0.63,0.9,0.64,0.46
"ENSMUSG00000062782",0,0,0,0,0,0,0,0
"ENSMUSG00000062783",0,0.13,0.12,0.03,0,0,0.06,0.07
"ENSMUSG00000062785",5.53,6.34,4.01,5.28,6.39,3.92,4.72,5.08
"ENSMUSG00000062791",0,0,0,0,0,0,0,0
"ENSMUSG00000062793",0,0,0,0,0,0,0,0
"ENSMUSG00000062794",1.25,1.92,3.08,1.18,1.95,1.87,0.8,1.13
"ENSMUSG00000062797",42.38,29.49,35.87,33.65,48.66,35.18,35.12,37.75
"ENSMUSG00000062814",0,0,0,0,0,0,0,0
"ENSMUSG00000062818",0,0,0,0,0,0,0,0
"ENSMUSG00000062822",14.14,16.94,13.81,20.86,16.03,18.93,19.01,14.34
"ENSMUSG00000062825",820.62,775.04,816.42,829.18,732.03,767.82,835.47,631.25
"ENSMUSG00000062826",0.01,0.01,0,0,0,0,0,0
"ENSMUSG00000062833",0,0,0,0,0,0,0,0
"ENSMUSG00000062844",0,0,0,0,0,0,0,0
"ENSMUSG00000062859",0.04,0,0.04,0.45,0.16,0.33,0.28,0.35
"ENSMUSG00000062861",3.71,4.46,4.26,4.16,3.09,3.51,4.03,4.23
"ENSMUSG00000062866",6.67,7.76,3.84,7.82,8.73,8.88,8.24,11.18
"ENSMUSG00000062867",30.52,30.43,28.12,32.84,34.01,48.23,31.79,36.3
"ENSMUSG00000062868",0,0.13,0,0.05,0,0,0,0
"ENSMUSG00000062873",0,0,0,0,0,0,0,0
"ENSMUSG00000062878",0,0,0,0,0,0,0,0
"ENSMUSG00000062892",0,0.16,0.07,0.08,0,0,0,0.08
"ENSMUSG00000062901",13.75,14.27,12.31,15.69,13.31,20.7,14.37,17.3
"ENSMUSG00000062905",0.02,0,0.03,0,0.02,0,0.03,0.05
"ENSMUSG00000062906",5.31,5.58,4.53,5.49,5.36,4.67,6.06,5.15
"ENSMUSG00000062908",29.42,23.4,24.13,27.23,23.68,30.76,17.88,23.07
"ENSMUSG00000062914",0,0,0,0.1,0,0,0.03,0.12
"ENSMUSG00000062929",24.46,22.63,19.14,23.69,20.11,18.12,19.06,20.7
"ENSMUSG00000062931",15.86,12.21,14.57,13.23,14.03,11.47,13.87,12.85
"ENSMUSG00000062937",4.53,4.74,3.35,4.15,2.89,3.07,3.41,2.83
"ENSMUSG00000062939",0.09,0.18,0,0.12,0.19,0.61,0.7,0.37
"ENSMUSG00000062944",0.88,1.94,1.02,1.01,1.72,1.23,0.72,1.04
"ENSMUSG00000062949",1.1,0.84,2.23,1.49,0.86,0.83,1.11,1.04
"ENSMUSG00000062952",0,0,0,0,0,0,0,0
"ENSMUSG00000062960",0.74,1.11,1.76,1.17,0.86,0.98,0.42,0.5
"ENSMUSG00000062961",0.85,0.96,0.86,1.53,1.3,1.37,0.97,1.16
"ENSMUSG00000062963",75.26,67,59.09,62.08,80.34,80.41,68.36,67.88
"ENSMUSG00000062980",1.18,1.09,1.6,1.96,1.16,0.79,0.37,0.61
"ENSMUSG00000062981",163.52,114.39,108.49,118.37,135.77,160.47,114.02,137.19
"ENSMUSG00000062987",0,0,0,0,0,0,0,0.02
"ENSMUSG00000062991",2.58,5.81,6.71,6.35,3.91,4.64,5.31,5.15
"ENSMUSG00000062995",30.79,27.19,26.93,29.9,34.53,34.47,36.24,32.74
"ENSMUSG00000062997",162.02,100.39,86.89,165.77,163.14,244.68,164.89,151.14
"ENSMUSG00000063011",1.5,1.31,3.23,0.63,0.46,0.65,1.12,0.75
"ENSMUSG00000063015",17.66,18.64,13.28,19.98,15.8,11.78,15.63,14.54
"ENSMUSG00000063019",56.3,52.55,48.81,53.11,57.82,56.2,50.95,53.38
"ENSMUSG00000063020",0,0,0,0,0,0,0,0.04
"ENSMUSG00000063021",0,0,0.35,0.42,0.26,0.19,0,0
"ENSMUSG00000063047",4.17,4.85,5.77,5.91,5.75,4.8,5.56,5.39
"ENSMUSG00000063049",2.66,1.73,1.38,2.63,2.02,2.29,1.84,1.72
"ENSMUSG00000063052",9.93,8.56,9.49,10.7,11.33,11.73,11.34,10.83
"ENSMUSG00000063058",0,0,0,0,0,0,0,0
"ENSMUSG00000063060",0.28,0.46,0.72,0.76,0.63,0.52,0.46,0.45
"ENSMUSG00000063063",29.36,27.75,26.87,28.35,20.65,29.48,19.99,22.1
"ENSMUSG00000063065",37.46,42.69,37.45,34.57,41.03,37.2,46.32,55.62
"ENSMUSG00000063077",43.17,50.26,44.26,55.32,69.87,59.36,58.87,54.57
"ENSMUSG00000063089",0,0,0,0,0,0,0,0
"ENSMUSG00000063106",0,0.56,0.07,0,0,0,0,0.15
"ENSMUSG00000063108",1.83,2.12,2.26,4.61,1.7,1.82,3.85,2.47
"ENSMUSG00000063116",0,0.05,0,0,0.01,0.06,0,0
"ENSMUSG00000063120",0,0.07,0,0,0,0,0,0
"ENSMUSG00000063129",0,0.04,0,0,0,0.04,0,0
"ENSMUSG00000063130",0,0.05,0,0,0,0,0,0
"ENSMUSG00000063133",0,0,0,0,0,0,0,0
"ENSMUSG00000063137",0,0,0,0,0,0,0.15,0
"ENSMUSG00000063142",30.72,39.92,21.16,32.88,34.82,39.85,38.17,33.36
"ENSMUSG00000063145",8.67,8.8,9.18,8.25,11.81,10.48,8.7,8.74
"ENSMUSG00000063146",6.93,7.96,7.72,9.74,11.74,12.04,13.25,10.32
"ENSMUSG00000063157",0,0.29,0,0,0,0,0,0
"ENSMUSG00000063160",9.47,10.89,8.71,9.47,10.69,7.94,11.26,9.55
"ENSMUSG00000063163",0,0,0,0,0,0,0,0
"ENSMUSG00000063172",17.57,9.33,8.55,11.29,14.31,11.71,10.18,11.64
"ENSMUSG00000063173",0,0,0,0,0,0,0,0
"ENSMUSG00000063176",0,0,0,0,0,0,0,0
"ENSMUSG00000063177",0,0,0,0,0,0,0,0
"ENSMUSG00000063179",22.74,15.82,10,18.81,20.07,16.33,18.12,17.34
"ENSMUSG00000063188",0,0.06,0.02,0,0.21,0.02,0.02,0
"ENSMUSG00000063193",0.07,0,0.03,0.03,0,0.03,0,0.11
"ENSMUSG00000063200",22.17,19.4,26.43,24,21.34,19.18,19.53,25.46
"ENSMUSG00000063206",0,0,0,0,0,0,0,0
"ENSMUSG00000063216",0,0,0,0,0,0.08,0,0
"ENSMUSG00000063221",0,0,0,0,0,0,0,0
"ENSMUSG00000063225",0,0.07,0,0,0,0,0,0
"ENSMUSG00000063229",527.16,485.32,358.29,437.37,524.22,567.41,568.9,462.51
"ENSMUSG00000063230",0,0.07,0,0,0,0,0,0
"ENSMUSG00000063232",0,0,0,0,0,0,0,0
"ENSMUSG00000063234",1.33,1.21,0.44,1.13,0.51,1.25,1.62,0.61
"ENSMUSG00000063235",21.87,20.65,15.17,18.34,13.59,16.87,14.99,15.13
"ENSMUSG00000063236",17.47,20.16,19.05,21.64,20.64,19.5,19.98,19.25
"ENSMUSG00000063239",5.03,5.19,9.88,4.61,3.08,2.75,3.17,4.19
"ENSMUSG00000063240",0,0,0,0,0,0,0,0
"ENSMUSG00000063245",0.09,1.11,0.07,1.3,1.72,0.12,0.71,1.13
"ENSMUSG00000063251",0,0,0,0,0,0,0,0
"ENSMUSG00000063253",197.48,165.39,139.9,208.11,202.1,192.66,160.12,172.3
"ENSMUSG00000063260",4.34,4.85,4.07,13.73,15.06,17.14,14.23,34.68
"ENSMUSG00000063268",0.37,1.21,1.28,1.09,0.72,0.82,0.66,0.76
"ENSMUSG00000063273",9.93,12.38,14.15,12.78,12.27,10.5,15.29,15.63
"ENSMUSG00000063275",19.14,13.47,9.99,14.78,13.03,13.44,16.55,17.79
"ENSMUSG00000063277",0,0,0,0,0.33,0,0.03,0
"ENSMUSG00000063281",11.32,12.45,12.47,9.7,10.3,13.89,11.19,9.64
"ENSMUSG00000063296",2.44,2.33,1.71,2.48,2.32,2.97,3.01,3.27
"ENSMUSG00000063297",56.46,58.6,39.7,48.44,49.59,51.04,38.15,50.91
"ENSMUSG00000063305",0,0,0,0.04,0,0.12,0,0
"ENSMUSG00000063316",218.49,146.4,145.85,144.73,181.71,179.37,211.29,174.25
"ENSMUSG00000063317",2.59,3.55,2.65,3.2,3.14,2.82,3.34,2.82
"ENSMUSG00000063320",13.31,13.33,11.21,8.62,10.18,5.72,8.66,10.17
"ENSMUSG00000063334",9.55,8.31,11,10.08,12.11,16.12,11.97,12.99
"ENSMUSG00000063350",0,0,0,0,0,0,0,0
"ENSMUSG00000063354",0.07,0,0,0.04,0,0.05,0,0
"ENSMUSG00000063358",154.38,132.15,216.84,128.54,67.51,197.36,179.22,202.76
"ENSMUSG00000063362",5.5,5.33,6.32,5.42,6.92,5.18,5.84,6.03
"ENSMUSG00000063364",1.62,1.92,1.58,2,2.15,1.37,1.21,1.4
"ENSMUSG00000063374",0,0,0,0,0,0.06,0,0
"ENSMUSG00000063376",0,0,0,0,0,0,0,0
"ENSMUSG00000063380",0.22,0,0.14,0,0,0.08,0,0
"ENSMUSG00000063382",2.53,3.03,4.96,3.39,3.5,2.74,3.31,3
"ENSMUSG00000063383",0.94,0.68,0.83,0.59,0.65,0.57,0.57,0.79
"ENSMUSG00000063386",0,0,0.04,0,0,0,0,0
"ENSMUSG00000063394",0,0,0.07,0,0,0,0,0
"ENSMUSG00000063406",15.29,15.84,15.06,23.03,12.92,28.82,12.56,14.88
"ENSMUSG00000063409",0,0,0.2,0.24,0.15,0.04,0.18,0.21
"ENSMUSG00000063410",4.32,2.98,2.86,4.28,3.58,3.1,4.08,4.7
"ENSMUSG00000063412",0,0,0.37,0,0,0,0,0.65
"ENSMUSG00000063415",0.95,0.18,0.68,0.21,0.43,0.56,0.43,0.36
"ENSMUSG00000063428",6.06,5.4,5.46,5.77,2.53,2.83,2.01,3.96
"ENSMUSG00000063430",15.48,23.8,26.66,16.33,17.1,20.9,27.84,20.52
"ENSMUSG00000063434",8.21,9.89,12.54,12.15,10.92,11.49,10.23,11.83
"ENSMUSG00000063439",34.48,25.88,48.02,23.19,28.48,22.61,35.59,42.2
"ENSMUSG00000063445",8.42,7.73,11.38,10.69,10.37,9.91,10.53,10.56
"ENSMUSG00000063446",7.67,7.59,22.56,10.45,10.12,10.17,12.57,9.44
"ENSMUSG00000063447",0.04,0.12,0,0.39,0.03,0.22,0.17,0
"ENSMUSG00000063450",7.67,6.37,7.34,8.56,7.01,8.13,8.31,7.17
"ENSMUSG00000063455",2.15,3.54,2.55,3.13,3.74,3.26,3.59,2.79
"ENSMUSG00000063457",364.66,264.3,220.03,324.41,339.58,301.43,351.22,262.2
"ENSMUSG00000063458",0.43,1.09,0.88,1.09,1.54,0.77,0.29,0.62
"ENSMUSG00000063478",0,0,0,0,0,0,0,0
"ENSMUSG00000063480",85.32,78.45,79.83,78.98,69.95,68.29,84.47,82.66
"ENSMUSG00000063488",0.6,0.6,0.99,0.58,0.35,0.85,0.4,0.41
"ENSMUSG00000063506",5.27,6.38,3.47,4.59,5.43,4.44,5.18,5.41
"ENSMUSG00000063507",0,0,0,0,0,0,0,0
"ENSMUSG00000063511",43.04,59.34,60.74,82.99,60.22,66.73,63.3,57.07
"ENSMUSG00000063522",0,0.07,0,0,0.03,0,0,0
"ENSMUSG00000063524",1115.89,1010.21,836.66,868.91,1185.67,1233.6,1005.96,1164.77
"ENSMUSG00000063529",0,0,0.05,0.06,0,0,0,0
"ENSMUSG00000063531",3.86,3.08,2.71,5.16,6,6.11,6.34,6.73
"ENSMUSG00000063535",1.3,0.99,0.54,1.25,2.1,1.1,2.69,1.71
"ENSMUSG00000063549",0,0,0,0,0,0,0,0
"ENSMUSG00000063550",4.39,5.14,5.75,5.51,5.37,5.39,5.83,4.92
